accelX,accelY,accelZ,gyroX,gyroY,gyroZ,activity
-596,156,16084,8,7,1,0
-576,284,16180,16,8,-13,0
-640,112,16108,-7,3,-9,0
-552,212,15976,6,-6,-6,0
-580,136,16080,2,-1,7,0
-712,132,16212,-29,8,-8,0
-560,504,16184,22,12,8,0
-604,-52,15788,-18,-5,-4,0
-596,-4,16068,19,-12,13,0
-700,180,16068,6,11,-18,0
-596,192,16184,-28,18,1,0
-720,188,16172,2,33,-10,0
-720,184,16152,4,18,4,0
-584,124,16176,-23,-10,14,0
-680,168,16176,7,10,-1,0
-668,72,16148,-7,-5,5,0
-700,140,16196,-12,9,-1,0
-700,216,16148,-11,12,-6,0
-736,252,16128,-12,15,-4,0
-672,212,16252,-17,3,0,0
-844,288,16020,9,11,5,0
-636,184,15992,-13,-1,1,0
-628,184,16076,-17,5,1,0
-692,216,16088,-8,14,-4,0
-788,200,16208,-10,13,-1,0
-684,196,16144,-11,18,-3,0
-728,228,16100,1,7,-9,0
-640,128,16076,6,1,-3,0
-668,132,16108,-3,9,3,0
-676,172,16164,-16,11,-7,0
-680,200,16140,-6,10,-6,0
-724,220,16168,-5,6,11,0
-704,244,16032,-15,20,1,0
-692,196,16128,-11,4,5,0
-588,200,16112,-7,4,-4,0
-612,152,16088,-3,-3,-2,0
-700,160,16168,-4,0,5,0
-664,196,16140,-1,12,-13,0
-692,128,16092,-4,9,-1,0
-676,156,16180,-3,9,6,0
-624,156,16168,-2,14,1,0
-664,156,16028,-5,1,8,0
-740,128,16188,-12,6,-6,0
-752,136,16112,-4,19,5,0
-588,220,16172,0,5,8,0
-752,224,16240,-5,7,2,0
-656,236,16088,1,-4,1,0
-668,152,16180,-11,9,-2,0
-648,148,16088,-4,2,3,0
-740,140,16068,-5,6,7,0
-680,212,16076,-2,6,-3,0
-644,248,16176,-4,13,7,0
-628,192,15968,-12,18,1,0
-640,156,16128,-1,16,-1,0
-684,196,16096,-6,-1,0,0
-696,192,16180,-7,10,3,0
-672,240,16164,-5,2,-2,0
-744,224,16172,1,6,3,0
-672,168,16120,-5,21,8,0
-640,144,15916,-5,16,-3,0
-680,76,16052,-8,2,-3,0
-696,228,16180,-1,18,-2,0
-772,204,16148,-8,14,-2,0
-712,248,16108,-3,13,6,0
-736,240,16256,1,14,-2,0
-700,132,16088,-6,14,2,0
-584,136,16036,-11,-9,-1,0
-636,136,16024,-6,11,-1,0
-648,128,16184,-9,3,4,0
-736,136,16308,-10,24,-7,0
-676,264,16168,3,2,3,0
-688,204,16100,-15,8,3,0
-600,180,16180,-5,5,-3,0
-568,148,16248,1,5,-5,0
-668,136,16200,-6,-5,1,0
-688,224,16352,-6,-13,6,0
-968,232,16264,9,19,-2,0
-580,148,16156,-18,19,-3,0
-1028,124,16364,0,23,-4,0
-596,112,16028,-15,21,-6,0
-592,80,16120,-4,-17,8,0
300,308,15036,-21,-56,0,0
-112,312,15932,20,-24,-5,0
-624,32,16172,-22,10,-9,0
-836,272,16380,10,32,4,0
-388,152,15728,-11,2,-5,0
-1000,80,16260,0,23,9,0
-632,176,16160,1,13,5,0
-636,200,16296,0,11,13,0
-700,228,16108,-24,26,-12,0
-844,184,16184,9,14,-7,0
-340,360,16148,21,-8,6,0
-576,88,16096,-11,-2,-8,0
-676,244,16224,-45,61,-19,0
-780,140,16036,-14,4,11,0
-764,-160,16120,-29,31,16,0
-220,-40,15760,-6,-40,6,0
-1084,112,16352,-28,83,-14,0
-512,248,16220,12,-25,13,0
-672,112,15980,-12,6,1,0
-888,152,15984,-7,10,6,0
-724,200,16188,-27,45,-15,0
-1076,-308,15796,-6,21,5,0
-368,-148,15740,-33,-7,-2,0
-440,268,16020,4,-4,1,0
-560,84,16064,2,8,1,0
-1476,308,16504,-23,58,1,0
-732,292,16128,-2,13,-11,0
-512,276,15844,11,2,7,0
-388,188,16264,5,-27,16,0
-824,72,16164,-10,21,-6,0
-808,28,16224,1,14,5,0
-560,60,16020,17,-3,8,0
-788,152,16204,-9,-22,9,0
-700,252,15944,-18,11,-11,0
-448,308,16200,14,1,15,0
-700,80,16436,-2,17,0,0
-780,188,16156,12,-4,-6,0
-680,36,16016,-25,15,-13,0
-572,40,16000,13,-10,0,0
-768,104,16288,-4,8,7,0
-760,88,16004,-6,18,3,0
-504,176,16124,-12,6,-4,0
-776,156,16184,-1,6,8,0
-596,192,16108,1,0,-6,0
-620,84,16064,-2,11,-13,0
-640,168,16160,-1,20,-7,0
-612,100,16020,-9,1,2,0
-684,272,16104,-1,9,-9,0
-852,208,16140,-4,31,2,0
-568,176,16404,0,15,6,0
-688,32,16228,-26,-1,7,0
-736,148,16376,-3,23,6,0
-440,96,16208,15,4,0,0
-400,184,16428,-1,-17,0,0
-692,264,16064,-5,-5,-3,0
-624,232,16120,-2,-3,2,0
-544,296,16288,15,12,-7,0
-484,192,16212,7,-47,14,0
-964,-316,16000,0,52,-8,0
988,32,14160,4,-163,9,0
-1156,296,16788,15,27,-9,0
-1256,200,16688,4,36,11,0
-612,232,16088,-24,23,-3,0
-664,-60,16004,-11,-6,4,0
-652,96,16348,-1,14,-4,0
-676,108,16044,6,-2,-2,0
-956,52,16152,-10,56,-17,0
-428,340,16136,-10,17,-4,0
-964,172,16132,66,40,-6,0
-900,80,16068,-60,24,-16,0
-652,232,15848,11,22,-13,0
-632,32,16124,19,1,7,0
-456,168,16248,-34,-2,1,0
-668,276,16080,45,14,-6,0
-476,176,16132,6,4,-10,0
-644,240,16332,-17,11,5,0
-1456,64,16596,12,37,-9,0
-896,168,15992,-19,28,2,0
-244,220,16056,11,-9,9,0
-732,104,16292,-2,3,7,0
-668,240,16116,-13,13,-3,0
-720,100,16280,2,29,-7,0
-436,156,16260,18,-16,-1,0
-640,80,16016,-18,3,5,0
-560,164,15992,-8,9,-3,0
-612,260,16156,11,-2,-12,0
-340,152,16200,19,-34,6,0
-752,200,16072,-20,1,6,0
-708,244,16244,-2,16,8,0
-576,68,16076,5,9,-8,0
-464,164,16100,-6,-18,5,0
-692,196,16000,-14,14,-4,0
-660,256,16072,10,4,-3,0
-760,176,16220,-3,12,-4,0
-672,188,16224,5,8,0,0
-752,156,16152,-8,10,5,0
-636,168,16132,-4,5,-3,0
-692,152,16140,-3,2,1,0
-648,116,16100,0,5,-6,0
-684,232,16196,-11,13,-4,0
-628,200,16280,6,16,2,0
-788,172,16228,-14,19,0,0
-616,152,16208,-10,9,-1,0
-588,92,16092,-7,3,3,0
-664,208,16100,-8,14,7,0
-620,224,16168,-2,7,-7,0
-680,224,16152,0,11,2,0
-748,232,16160,-8,5,-1,0
-676,184,16048,-4,6,6,0
-728,164,16088,-8,20,2,0
-648,124,16128,-1,2,2,0
-752,248,16008,-5,21,4,0
-656,240,16212,-5,10,-2,0
-672,216,16220,1,0,1,0
-624,164,16044,3,9,3,0
-616,228,16216,-7,6,6,0
-664,108,16132,4,4,-3,0
-820,180,16252,-3,16,-6,0
-644,152,16128,-1,2,0,0
-716,192,16192,-1,17,2,0
-668,240,16208,-2,10,-5,0
